"time
References : ['TL_in']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","TL_in
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
72.42 psec,200.0 mV
72.52 psec,200.0 mV
72.62 psec,199.9 mV
72.72 psec,199.9 mV
72.82 psec,199.9 mV
72.92 psec,199.9 mV
73.02 psec,199.9 mV
73.12 psec,199.9 mV
73.22 psec,199.9 mV
73.32 psec,199.9 mV
73.42 psec,199.9 mV
73.52 psec,199.9 mV
73.62 psec,199.9 mV
73.72 psec,200.0 mV
73.82 psec,200.0 mV
73.92 psec,200.0 mV
74.02 psec,200.0 mV
74.12 psec,200.0 mV
74.22 psec,200.1 mV
74.32 psec,200.1 mV
74.42 psec,200.1 mV
74.52 psec,200.1 mV
74.62 psec,200.1 mV
74.72 psec,200.1 mV
74.82 psec,200.1 mV
74.92 psec,200.1 mV
75.02 psec,200.1 mV
75.12 psec,200.1 mV
75.22 psec,200.1 mV
75.32 psec,200.0 mV
75.42 psec,200.0 mV
75.52 psec,200.0 mV
75.62 psec,200.0 mV
75.72 psec,200.0 mV
75.82 psec,199.9 mV
75.92 psec,199.9 mV
76.02 psec,199.9 mV
76.12 psec,199.9 mV
76.22 psec,199.9 mV
76.32 psec,199.9 mV
76.42 psec,199.9 mV
76.52 psec,199.9 mV
76.62 psec,199.9 mV
76.72 psec,199.9 mV
76.82 psec,200.0 mV
76.92 psec,200.0 mV
77.02 psec,200.0 mV
77.12 psec,200.0 mV
77.22 psec,200.0 mV
77.32 psec,200.0 mV
77.42 psec,200.1 mV
77.52 psec,200.1 mV
77.62 psec,200.1 mV
77.72 psec,200.1 mV
77.82 psec,200.1 mV
77.92 psec,200.1 mV
78.02 psec,200.1 mV
78.12 psec,200.1 mV
78.22 psec,200.1 mV
78.32 psec,200.1 mV
78.42 psec,200.0 mV
78.52 psec,200.0 mV
78.62 psec,200.0 mV
78.72 psec,200.0 mV
78.82 psec,200.0 mV
78.92 psec,200.0 mV
79.02 psec,199.9 mV
79.12 psec,199.9 mV
79.22 psec,199.9 mV
79.32 psec,199.9 mV
79.42 psec,199.9 mV
79.52 psec,199.9 mV
79.62 psec,199.9 mV
79.72 psec,199.9 mV
79.82 psec,199.9 mV
79.92 psec,199.9 mV
80.02 psec,200.0 mV
80.12 psec,200.0 mV
80.22 psec,200.0 mV
80.32 psec,200.0 mV
80.42 psec,200.0 mV
80.52 psec,200.1 mV
80.62 psec,200.1 mV
80.72 psec,200.1 mV
80.82 psec,200.1 mV
80.92 psec,200.1 mV
81.02 psec,200.1 mV
81.12 psec,200.1 mV
81.22 psec,200.1 mV
81.32 psec,200.1 mV
81.42 psec,200.1 mV
81.52 psec,200.0 mV
81.62 psec,200.0 mV
81.72 psec,200.0 mV
81.82 psec,200.0 mV
81.92 psec,200.0 mV
82.02 psec,200.0 mV
82.12 psec,199.9 mV
82.22 psec,199.9 mV
82.32 psec,199.9 mV
82.42 psec,199.9 mV
82.52 psec,199.9 mV
82.62 psec,199.9 mV
82.72 psec,199.9 mV
82.82 psec,199.9 mV
82.92 psec,199.9 mV
83.02 psec,199.9 mV
83.12 psec,200.0 mV
83.22 psec,200.0 mV
83.32 psec,200.0 mV
83.42 psec,200.0 mV
