"time
References : ['vcap512']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","vcap512
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
51.32 psec,0.0000 V
51.42 psec,0.0000 V
51.52 psec,0.0000 V
51.62 psec,0.0000 V
51.72 psec,0.0000 V
51.82 psec,0.0000 V
51.92 psec,0.0000 V
52.02 psec,0.0000 V
52.12 psec,0.0000 V
52.22 psec,0.0000 V
52.32 psec,0.0000 V
52.42 psec,0.0000 V
52.52 psec,0.0000 V
52.62 psec,0.0000 V
52.72 psec,0.0000 V
52.82 psec,0.0000 V
52.92 psec,0.0000 V
53.02 psec,0.0000 V
53.12 psec,0.0000 V
53.22 psec,0.0000 V
53.32 psec,0.0000 V
53.42 psec,0.0000 V
53.52 psec,0.0000 V
53.62 psec,0.0000 V
53.72 psec,0.0000 V
53.82 psec,0.0000 V
53.92 psec,0.0000 V
54.02 psec,0.0000 V
54.12 psec,0.0000 V
54.22 psec,0.0000 V
54.32 psec,0.0000 V
54.42 psec,0.0000 V
54.52 psec,0.0000 V
54.62 psec,0.0000 V
54.72 psec,0.0000 V
54.82 psec,0.0000 V
54.92 psec,0.0000 V
55.02 psec,0.0000 V
55.12 psec,0.0000 V
55.22 psec,0.0000 V
55.32 psec,0.0000 V
55.42 psec,0.0000 V
55.52 psec,0.0000 V
55.62 psec,0.0000 V
55.72 psec,0.0000 V
55.82 psec,0.0000 V
55.92 psec,0.0000 V
56.02 psec,0.0000 V
56.12 psec,0.0000 V
56.22 psec,0.0000 V
56.32 psec,0.0000 V
56.42 psec,0.0000 V
56.52 psec,0.0000 V
56.62 psec,0.0000 V
56.72 psec,0.0000 V
56.82 psec,0.0000 V
56.92 psec,0.0000 V
57.02 psec,0.0000 V
57.12 psec,0.0000 V
57.22 psec,0.0000 V
57.32 psec,0.0000 V
57.42 psec,0.0000 V
57.52 psec,0.0000 V
57.62 psec,0.0000 V
57.72 psec,0.0000 V
57.82 psec,0.0000 V
57.92 psec,0.0000 V
58.02 psec,0.0000 V
58.12 psec,0.0000 V
58.22 psec,0.0000 V
58.32 psec,0.0000 V
58.42 psec,0.0000 V
58.52 psec,0.0000 V
58.62 psec,0.0000 V
58.72 psec,0.0000 V
58.82 psec,0.0000 V
58.92 psec,0.0000 V
59.02 psec,0.0000 V
59.12 psec,0.0000 V
59.22 psec,0.0000 V
59.32 psec,0.0000 V
59.42 psec,0.0000 V
59.52 psec,0.0000 V
