"time
References : ['I_sec1.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec1.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
469.6 fsec,4.092 mA
470.6 fsec,4.095 mA
471.6 fsec,4.097 mA
472.6 fsec,4.099 mA
473.6 fsec,4.102 mA
474.6 fsec,4.104 mA
475.6 fsec,4.106 mA
476.6 fsec,4.109 mA
477.6 fsec,4.111 mA
478.6 fsec,4.113 mA
479.6 fsec,4.115 mA
480.6 fsec,4.118 mA
481.6 fsec,4.120 mA
482.6 fsec,4.122 mA
483.6 fsec,4.124 mA
484.6 fsec,4.127 mA
485.6 fsec,4.129 mA
486.6 fsec,4.131 mA
487.6 fsec,4.133 mA
488.6 fsec,4.135 mA
489.6 fsec,4.137 mA
490.6 fsec,4.140 mA
491.6 fsec,4.142 mA
492.6 fsec,4.144 mA
493.6 fsec,4.146 mA
494.6 fsec,4.148 mA
495.6 fsec,4.150 mA
496.6 fsec,4.152 mA
497.6 fsec,4.154 mA
498.6 fsec,4.156 mA
499.6 fsec,4.158 mA
500.6 fsec,4.160 mA
501.6 fsec,4.162 mA
502.6 fsec,4.164 mA
503.6 fsec,4.166 mA
504.6 fsec,4.168 mA
505.6 fsec,4.170 mA
506.6 fsec,4.172 mA
507.6 fsec,4.174 mA
508.6 fsec,4.176 mA
509.6 fsec,4.178 mA
510.6 fsec,4.180 mA
511.6 fsec,4.181 mA
512.6 fsec,4.183 mA
513.6 fsec,4.185 mA
514.6 fsec,4.187 mA
515.6 fsec,4.189 mA
516.6 fsec,4.191 mA
517.6 fsec,4.192 mA
518.6 fsec,4.194 mA
519.6 fsec,4.196 mA
520.6 fsec,4.198 mA
521.6 fsec,4.200 mA
522.6 fsec,4.201 mA
523.6 fsec,4.203 mA
524.6 fsec,4.205 mA
525.6 fsec,4.206 mA
526.6 fsec,4.208 mA
527.6 fsec,4.210 mA
528.6 fsec,4.212 mA
529.6 fsec,4.213 mA
530.6 fsec,4.215 mA
531.6 fsec,4.217 mA
532.6 fsec,4.218 mA
533.6 fsec,4.220 mA
534.6 fsec,4.221 mA
535.6 fsec,4.223 mA
536.6 fsec,4.225 mA
537.6 fsec,4.226 mA
538.6 fsec,4.228 mA
539.6 fsec,4.229 mA
540.6 fsec,4.231 mA
541.6 fsec,4.233 mA
542.6 fsec,4.234 mA
543.6 fsec,4.236 mA
544.6 fsec,4.237 mA
545.6 fsec,4.239 mA
546.6 fsec,4.240 mA
547.6 fsec,4.242 mA
548.6 fsec,4.243 mA
549.6 fsec,4.245 mA
550.6 fsec,4.246 mA
551.6 fsec,4.248 mA
552.6 fsec,4.249 mA
553.6 fsec,4.250 mA
554.6 fsec,4.252 mA
555.6 fsec,4.253 mA
556.6 fsec,4.255 mA
557.6 fsec,4.256 mA
558.6 fsec,4.257 mA
559.6 fsec,4.259 mA
560.6 fsec,4.260 mA
561.6 fsec,4.262 mA
562.6 fsec,4.263 mA
563.6 fsec,4.264 mA
564.6 fsec,4.266 mA
565.6 fsec,4.267 mA
566.6 fsec,4.268 mA
567.6 fsec,4.270 mA
568.6 fsec,4.271 mA
569.6 fsec,4.272 mA
570.6 fsec,4.273 mA
571.6 fsec,4.275 mA
572.6 fsec,4.276 mA
573.6 fsec,4.277 mA
574.6 fsec,4.278 mA
575.6 fsec,4.280 mA
576.6 fsec,4.281 mA
577.6 fsec,4.282 mA
578.6 fsec,4.283 mA
579.6 fsec,4.284 mA
580.6 fsec,4.286 mA
581.6 fsec,4.287 mA
582.6 fsec,4.288 mA
583.6 fsec,4.289 mA
584.6 fsec,4.290 mA
585.6 fsec,4.291 mA
586.6 fsec,4.293 mA
587.6 fsec,4.294 mA
588.6 fsec,4.295 mA
589.6 fsec,4.296 mA
590.6 fsec,4.297 mA
591.6 fsec,4.298 mA
592.6 fsec,4.299 mA
593.6 fsec,4.300 mA
594.6 fsec,4.301 mA
595.6 fsec,4.302 mA
596.6 fsec,4.304 mA
597.6 fsec,4.305 mA
598.6 fsec,4.306 mA
599.6 fsec,4.307 mA
600.6 fsec,4.308 mA
601.6 fsec,4.309 mA
602.6 fsec,4.310 mA
603.6 fsec,4.311 mA
604.6 fsec,4.312 mA
605.6 fsec,4.313 mA
606.6 fsec,4.314 mA
607.6 fsec,4.315 mA
608.6 fsec,4.316 mA
609.6 fsec,4.316 mA
610.6 fsec,4.317 mA
611.6 fsec,4.318 mA
612.6 fsec,4.319 mA
613.6 fsec,4.320 mA
614.6 fsec,4.321 mA
615.6 fsec,4.322 mA
616.6 fsec,4.323 mA
617.6 fsec,4.324 mA
618.6 fsec,4.325 mA
619.6 fsec,4.326 mA
620.6 fsec,4.326 mA
621.6 fsec,4.327 mA
622.6 fsec,4.328 mA
623.6 fsec,4.329 mA
624.6 fsec,4.330 mA
625.6 fsec,4.331 mA
626.6 fsec,4.332 mA
627.6 fsec,4.332 mA
628.6 fsec,4.333 mA
629.6 fsec,4.334 mA
630.6 fsec,4.335 mA
631.6 fsec,4.336 mA
632.6 fsec,4.336 mA
633.6 fsec,4.337 mA
634.6 fsec,4.338 mA
635.6 fsec,4.339 mA
636.6 fsec,4.339 mA
637.6 fsec,4.340 mA
638.6 fsec,4.341 mA
639.6 fsec,4.342 mA
640.6 fsec,4.342 mA
641.6 fsec,4.343 mA
642.6 fsec,4.344 mA
643.6 fsec,4.344 mA
644.6 fsec,4.345 mA
645.6 fsec,4.346 mA
646.6 fsec,4.347 mA
647.6 fsec,4.347 mA
648.6 fsec,4.348 mA
649.6 fsec,4.349 mA
650.6 fsec,4.349 mA
651.6 fsec,4.350 mA
652.6 fsec,4.351 mA
653.6 fsec,4.351 mA
654.6 fsec,4.352 mA
655.6 fsec,4.352 mA
656.6 fsec,4.353 mA
657.6 fsec,4.354 mA
658.6 fsec,4.354 mA
659.6 fsec,4.355 mA
660.6 fsec,4.355 mA
661.6 fsec,4.356 mA
662.6 fsec,4.357 mA
663.6 fsec,4.357 mA
664.6 fsec,4.358 mA
665.6 fsec,4.358 mA
666.6 fsec,4.359 mA
667.6 fsec,4.359 mA
668.6 fsec,4.360 mA
669.6 fsec,4.361 mA
670.6 fsec,4.361 mA
671.6 fsec,4.362 mA
672.6 fsec,4.362 mA
673.6 fsec,4.363 mA
674.6 fsec,4.363 mA
675.6 fsec,4.364 mA
676.6 fsec,4.364 mA
677.6 fsec,4.365 mA
678.6 fsec,4.365 mA
679.6 fsec,4.366 mA
680.6 fsec,4.366 mA
681.6 fsec,4.367 mA
