"time
References : ['vcap4']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","vcap4
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
308.6 fsec,1.775 nV
309.6 fsec,1.821 nV
310.6 fsec,1.868 nV
311.6 fsec,1.915 nV
312.6 fsec,1.964 nV
313.6 fsec,2.014 nV
314.6 fsec,2.065 nV
315.6 fsec,2.117 nV
316.6 fsec,2.171 nV
317.6 fsec,2.225 nV
318.6 fsec,2.281 nV
319.6 fsec,2.337 nV
320.6 fsec,2.396 nV
321.6 fsec,2.455 nV
322.6 fsec,2.515 nV
323.6 fsec,2.577 nV
324.6 fsec,2.641 nV
325.6 fsec,2.705 nV
326.6 fsec,2.771 nV
327.6 fsec,2.838 nV
328.6 fsec,2.907 nV
329.6 fsec,2.977 nV
330.6 fsec,3.049 nV
331.6 fsec,3.122 nV
332.6 fsec,3.197 nV
333.6 fsec,3.273 nV
334.6 fsec,3.351 nV
335.6 fsec,3.430 nV
336.6 fsec,3.511 nV
337.6 fsec,3.594 nV
338.6 fsec,3.678 nV
339.6 fsec,3.764 nV
340.6 fsec,3.852 nV
341.6 fsec,3.942 nV
342.6 fsec,4.033 nV
343.6 fsec,4.126 nV
344.6 fsec,4.221 nV
345.6 fsec,4.318 nV
346.6 fsec,4.417 nV
347.6 fsec,4.518 nV
348.6 fsec,4.621 nV
349.6 fsec,4.726 nV
350.6 fsec,4.833 nV
351.6 fsec,4.942 nV
352.6 fsec,5.054 nV
353.6 fsec,5.167 nV
354.6 fsec,5.283 nV
355.6 fsec,5.401 nV
356.6 fsec,5.521 nV
357.6 fsec,5.643 nV
358.6 fsec,5.768 nV
359.6 fsec,5.896 nV
360.6 fsec,6.025 nV
361.6 fsec,6.157 nV
362.6 fsec,6.292 nV
363.6 fsec,6.429 nV
364.6 fsec,6.569 nV
365.6 fsec,6.712 nV
366.6 fsec,6.857 nV
367.6 fsec,7.005 nV
368.6 fsec,7.155 nV
369.6 fsec,7.309 nV
370.6 fsec,7.465 nV
371.6 fsec,7.624 nV
372.6 fsec,7.786 nV
373.6 fsec,7.951 nV
374.6 fsec,8.119 nV
375.6 fsec,8.291 nV
376.6 fsec,8.465 nV
377.6 fsec,8.643 nV
378.6 fsec,8.823 nV
379.6 fsec,9.007 nV
380.6 fsec,9.195 nV
381.6 fsec,9.385 nV
382.6 fsec,9.580 nV
383.6 fsec,9.777 nV
384.6 fsec,9.979 nV
385.6 fsec,10.18 nV
386.6 fsec,10.39 nV
387.6 fsec,10.60 nV
388.6 fsec,10.82 nV
389.6 fsec,11.04 nV
390.6 fsec,11.26 nV
391.6 fsec,11.49 nV
392.6 fsec,11.72 nV
393.6 fsec,11.96 nV
394.6 fsec,12.20 nV
395.6 fsec,12.44 nV
396.6 fsec,12.69 nV
397.6 fsec,12.94 nV
398.6 fsec,13.20 nV
399.6 fsec,13.46 nV
400.6 fsec,13.72 nV
401.6 fsec,13.99 nV
402.6 fsec,14.27 nV
403.6 fsec,14.55 nV
404.6 fsec,14.83 nV
405.6 fsec,15.12 nV
406.6 fsec,15.41 nV
407.6 fsec,15.71 nV
408.6 fsec,16.02 nV
409.6 fsec,16.33 nV
410.6 fsec,16.64 nV
411.6 fsec,16.96 nV
412.6 fsec,17.28 nV
413.6 fsec,17.61 nV
414.6 fsec,17.95 nV
415.6 fsec,18.29 nV
416.6 fsec,18.64 nV
417.6 fsec,18.99 nV
418.6 fsec,19.35 nV
419.6 fsec,19.71 nV
420.6 fsec,20.08 nV
421.6 fsec,20.46 nV
422.6 fsec,20.84 nV
423.6 fsec,21.23 nV
424.6 fsec,21.62 nV
425.6 fsec,22.02 nV
426.6 fsec,22.43 nV
427.6 fsec,22.84 nV
428.6 fsec,23.26 nV
429.6 fsec,23.69 nV
430.6 fsec,24.12 nV
431.6 fsec,24.56 nV
432.6 fsec,25.01 nV
433.6 fsec,25.46 nV
434.6 fsec,25.92 nV
435.6 fsec,26.39 nV
436.6 fsec,26.87 nV
437.6 fsec,27.35 nV
438.6 fsec,27.85 nV
439.6 fsec,28.34 nV
440.6 fsec,28.85 nV
441.6 fsec,29.36 nV
442.6 fsec,29.89 nV
443.6 fsec,30.42 nV
444.6 fsec,30.96 nV
445.6 fsec,31.50 nV
446.6 fsec,32.06 nV
447.6 fsec,32.62 nV
448.6 fsec,33.19 nV
449.6 fsec,33.78 nV
450.6 fsec,34.37 nV
451.6 fsec,34.96 nV
452.6 fsec,35.57 nV
453.6 fsec,36.19 nV
454.6 fsec,36.81 nV
455.6 fsec,37.45 nV
456.6 fsec,38.10 nV
457.6 fsec,38.75 nV
458.6 fsec,39.41 nV
459.6 fsec,40.09 nV
460.6 fsec,40.77 nV
461.6 fsec,41.47 nV
462.6 fsec,42.17 nV
463.6 fsec,42.89 nV
464.6 fsec,43.61 nV
465.6 fsec,44.35 nV
466.6 fsec,45.10 nV
467.6 fsec,45.85 nV
468.6 fsec,46.62 nV
469.6 fsec,47.40 nV
470.6 fsec,48.19 nV
471.6 fsec,49.00 nV
472.6 fsec,49.81 nV
473.6 fsec,50.64 nV
474.6 fsec,51.47 nV
475.6 fsec,52.32 nV
476.6 fsec,53.18 nV
477.6 fsec,54.06 nV
478.6 fsec,54.95 nV
479.6 fsec,55.84 nV
480.6 fsec,56.76 nV
481.6 fsec,57.68 nV
482.6 fsec,58.62 nV
483.6 fsec,59.57 nV
484.6 fsec,60.54 nV
485.6 fsec,61.51 nV
486.6 fsec,62.50 nV
487.6 fsec,63.51 nV
488.6 fsec,64.53 nV
489.6 fsec,65.56 nV
490.6 fsec,66.61 nV
491.6 fsec,67.67 nV
492.6 fsec,68.75 nV
493.6 fsec,69.84 nV
494.6 fsec,70.95 nV
495.6 fsec,72.07 nV
496.6 fsec,73.21 nV
497.6 fsec,74.36 nV
