"time
References : ['I_cap2.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_cap2.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
269.6 fsec,50.14 uA
270.6 fsec,50.65 uA
271.6 fsec,51.16 uA
272.6 fsec,51.68 uA
273.6 fsec,52.20 uA
274.6 fsec,52.72 uA
275.6 fsec,53.25 uA
276.6 fsec,53.78 uA
277.6 fsec,54.31 uA
278.6 fsec,54.85 uA
279.6 fsec,55.39 uA
280.6 fsec,55.93 uA
281.6 fsec,56.47 uA
282.6 fsec,57.02 uA
283.6 fsec,57.58 uA
284.6 fsec,58.13 uA
285.6 fsec,58.69 uA
286.6 fsec,59.25 uA
287.6 fsec,59.81 uA
288.6 fsec,60.38 uA
289.6 fsec,60.95 uA
290.6 fsec,61.53 uA
291.6 fsec,62.11 uA
292.6 fsec,62.69 uA
293.6 fsec,63.27 uA
294.6 fsec,63.86 uA
295.6 fsec,64.45 uA
296.6 fsec,65.04 uA
297.6 fsec,65.64 uA
298.6 fsec,66.24 uA
299.6 fsec,66.84 uA
300.6 fsec,67.45 uA
301.6 fsec,68.06 uA
302.6 fsec,68.67 uA
303.6 fsec,69.29 uA
304.6 fsec,69.90 uA
305.6 fsec,70.53 uA
306.6 fsec,71.15 uA
307.6 fsec,71.78 uA
308.6 fsec,72.42 uA
309.6 fsec,73.05 uA
310.6 fsec,73.69 uA
311.6 fsec,74.33 uA
312.6 fsec,74.98 uA
313.6 fsec,75.63 uA
314.6 fsec,76.28 uA
315.6 fsec,76.93 uA
316.6 fsec,77.59 uA
317.6 fsec,78.26 uA
318.6 fsec,78.92 uA
319.6 fsec,79.59 uA
320.6 fsec,80.26 uA
321.6 fsec,80.94 uA
322.6 fsec,81.62 uA
323.6 fsec,82.30 uA
324.6 fsec,82.98 uA
325.6 fsec,83.67 uA
326.6 fsec,84.36 uA
327.6 fsec,85.06 uA
328.6 fsec,85.76 uA
329.6 fsec,86.46 uA
330.6 fsec,87.16 uA
331.6 fsec,87.87 uA
332.6 fsec,88.58 uA
333.6 fsec,89.30 uA
334.6 fsec,90.02 uA
335.6 fsec,90.74 uA
336.6 fsec,91.47 uA
337.6 fsec,92.19 uA
338.6 fsec,92.93 uA
339.6 fsec,93.66 uA
340.6 fsec,94.40 uA
341.6 fsec,95.14 uA
342.6 fsec,95.89 uA
343.6 fsec,96.64 uA
344.6 fsec,97.39 uA
345.6 fsec,98.14 uA
346.6 fsec,98.90 uA
347.6 fsec,99.67 uA
348.6 fsec,100.4 uA
349.6 fsec,101.2 uA
350.6 fsec,102.0 uA
351.6 fsec,102.7 uA
352.6 fsec,103.5 uA
353.6 fsec,104.3 uA
354.6 fsec,105.1 uA
355.6 fsec,105.9 uA
356.6 fsec,106.7 uA
357.6 fsec,107.5 uA
358.6 fsec,108.3 uA
359.6 fsec,109.1 uA
360.6 fsec,109.9 uA
361.6 fsec,110.7 uA
362.6 fsec,111.5 uA
363.6 fsec,112.3 uA
364.6 fsec,113.1 uA
365.6 fsec,114.0 uA
366.6 fsec,114.8 uA
367.6 fsec,115.6 uA
368.6 fsec,116.5 uA
369.6 fsec,117.3 uA
370.6 fsec,118.1 uA
371.6 fsec,119.0 uA
372.6 fsec,119.8 uA
373.6 fsec,120.7 uA
374.6 fsec,121.5 uA
375.6 fsec,122.4 uA
376.6 fsec,123.3 uA
377.6 fsec,124.1 uA
378.6 fsec,125.0 uA
379.6 fsec,125.9 uA
380.6 fsec,126.7 uA
381.6 fsec,127.6 uA
382.6 fsec,128.5 uA
383.6 fsec,129.4 uA
384.6 fsec,130.3 uA
385.6 fsec,131.2 uA
386.6 fsec,132.1 uA
387.6 fsec,133.0 uA
388.6 fsec,133.9 uA
389.6 fsec,134.8 uA
390.6 fsec,135.7 uA
391.6 fsec,136.6 uA
392.6 fsec,137.5 uA
393.6 fsec,138.4 uA
394.6 fsec,139.3 uA
395.6 fsec,140.3 uA
396.6 fsec,141.2 uA
397.6 fsec,142.1 uA
398.6 fsec,143.1 uA
399.6 fsec,144.0 uA
400.6 fsec,145.0 uA
401.6 fsec,145.9 uA
402.6 fsec,146.9 uA
403.6 fsec,147.8 uA
404.6 fsec,148.8 uA
405.6 fsec,149.7 uA
406.6 fsec,150.7 uA
407.6 fsec,151.7 uA
408.6 fsec,152.6 uA
409.6 fsec,153.6 uA
410.6 fsec,154.6 uA
411.6 fsec,155.6 uA
412.6 fsec,156.6 uA
413.6 fsec,157.5 uA
414.6 fsec,158.5 uA
415.6 fsec,159.5 uA
416.6 fsec,160.5 uA
417.6 fsec,161.5 uA
418.6 fsec,162.5 uA
419.6 fsec,163.6 uA
420.6 fsec,164.6 uA
421.6 fsec,165.6 uA
422.6 fsec,166.6 uA
423.6 fsec,167.6 uA
424.6 fsec,168.7 uA
425.6 fsec,169.7 uA
426.6 fsec,170.7 uA
427.6 fsec,171.8 uA
428.6 fsec,172.8 uA
429.6 fsec,173.8 uA
430.6 fsec,174.9 uA
431.6 fsec,175.9 uA
432.6 fsec,177.0 uA
433.6 fsec,178.1 uA
434.6 fsec,179.1 uA
435.6 fsec,180.2 uA
436.6 fsec,181.3 uA
437.6 fsec,182.3 uA
438.6 fsec,183.4 uA
439.6 fsec,184.5 uA
440.6 fsec,185.6 uA
441.6 fsec,186.6 uA
442.6 fsec,187.7 uA
443.6 fsec,188.8 uA
444.6 fsec,189.9 uA
445.6 fsec,191.0 uA
446.6 fsec,192.1 uA
447.6 fsec,193.2 uA
448.6 fsec,194.3 uA
449.6 fsec,195.5 uA
450.6 fsec,196.6 uA
451.6 fsec,197.7 uA
452.6 fsec,198.8 uA
453.6 fsec,199.9 uA
454.6 fsec,201.1 uA
455.6 fsec,202.2 uA
456.6 fsec,203.3 uA
457.6 fsec,204.5 uA
458.6 fsec,205.6 uA
459.6 fsec,206.8 uA
460.6 fsec,207.9 uA
461.6 fsec,209.1 uA
462.6 fsec,210.2 uA
463.6 fsec,211.4 uA
464.6 fsec,212.6 uA
465.6 fsec,213.7 uA
466.6 fsec,214.9 uA
467.6 fsec,216.1 uA
468.6 fsec,217.3 uA
469.6 fsec,218.5 uA
470.6 fsec,219.6 uA
471.6 fsec,220.8 uA
472.6 fsec,222.0 uA
473.6 fsec,223.2 uA
474.6 fsec,224.4 uA
475.6 fsec,225.6 uA
476.6 fsec,226.8 uA
477.6 fsec,228.0 uA
478.6 fsec,229.3 uA
479.6 fsec,230.5 uA
