x,y
3.4835e+06,-62.632
3.4885e+06,-71.782
3.4935e+06,-80.867
3.4985e+06,-89.887
3.5035e+06,-98.842
3.5085e+06,-107.74
3.5135e+06,-116.57
3.5185e+06,-125.36
3.5235e+06,-134.1
3.5285e+06,-142.8
3.5335e+06,-151.47
3.5385e+06,-160.11
3.5435e+06,-168.74
3.5485e+06,-177.36
3.5536e+06,174.02
3.5586e+06,165.39
3.5636e+06,156.74
3.5686e+06,148.06
3.5736e+06,139.36
3.5786e+06,130.61
3.5836e+06,121.81
3.5886e+06,112.97
3.5936e+06,104.07
3.5986e+06,95.102
3.6036e+06,86.076
3.6086e+06,76.986
3.6136e+06,67.835
3.6186e+06,58.623
3.6236e+06,49.357
3.6286e+06,40.041
3.6336e+06,30.684
3.6386e+06,21.295
3.6436e+06,11.885
3.6486e+06,2.4641
3.6537e+06,-6.9555
3.6587e+06,-16.362
3.6637e+06,-25.746
3.6687e+06,-35.095
3.6737e+06,-44.402
3.6787e+06,-53.659
3.6837e+06,-62.86
3.6887e+06,-72.002
3.6937e+06,-81.083
3.6987e+06,-90.102
3.7037e+06,-99.06
3.7087e+06,-107.96
3.7137e+06,-116.81
3.7187e+06,-125.6
3.7237e+06,-134.35
3.7287e+06,-143.07
3.7337e+06,-151.76
3.7387e+06,-160.42
3.7437e+06,-169.07
3.7487e+06,-177.71
3.7538e+06,173.65
3.7588e+06,165
3.7638e+06,156.33
3.7688e+06,147.64
3.7738e+06,138.92
3.7788e+06,130.15
3.7838e+06,121.35
3.7888e+06,112.49
3.7938e+06,103.58
3.7988e+06,94.612
3.8038e+06,85.584
3.8088e+06,76.497
3.8138e+06,67.351
3.8188e+06,58.149
3.8238e+06,48.894
3.8288e+06,39.594
3.8338e+06,30.254
3.8388e+06,20.885
3.8438e+06,11.496
3.8488e+06,2.0976
3.8539e+06,-7.2996
3.8589e+06,-16.685
3.8639e+06,-26.047
3.8689e+06,-35.378
3.8739e+06,-44.668
3.8789e+06,-53.912
3.8839e+06,-63.102
3.8889e+06,-72.237
3.8939e+06,-81.313
3.8989e+06,-90.331
3.9039e+06,-99.291
3.9089e+06,-108.2
3.9139e+06,-117.05
3.9189e+06,-125.86
3.9239e+06,-134.62
3.9289e+06,-143.35
3.9339e+06,-152.05
3.9389e+06,-160.73
3.9439e+06,-169.4
3.9489e+06,-178.05
3.954e+06,173.29
3.959e+06,164.62
3.964e+06,155.93
3.969e+06,147.22
3.974e+06,138.48
3.979e+06,129.71
3.984e+06,120.89
3.989e+06,112.02
3.994e+06,103.11
3.999e+06,94.135
4.004e+06,85.106
4.009e+06,76.021
4.014e+06,66.88
4.019e+06,57.685
4.024e+06,48.442
4.029e+06,39.155
4.034e+06,29.831
4.039e+06,20.48
4.044e+06,11.11
4.049e+06,1.7315
4.0541e+06,-7.6457
4.0591e+06,-17.011
4.0641e+06,-26.355
4.0691e+06,-35.669
4.0741e+06,-44.944
4.0791e+06,-54.175
4.0841e+06,-63.356
4.0891e+06,-72.484
4.0941e+06,-81.556
4.0991e+06,-90.573
4.1041e+06,-99.535
4.1091e+06,-108.44
4.1141e+06,-117.3
4.1191e+06,-126.12
4.1241e+06,-134.9
4.1291e+06,-143.64
4.1341e+06,-152.35
4.1391e+06,-161.05
4.1441e+06,-169.73
4.1491e+06,-178.4
4.1542e+06,172.92
4.1592e+06,164.24
4.1642e+06,155.54
4.1692e+06,146.81
4.1742e+06,138.06
4.1792e+06,129.27
4.1842e+06,120.44
4.1892e+06,111.57
4.1942e+06,102.64
4.1992e+06,93.669
4.2042e+06,84.639
4.2092e+06,75.556
4.2142e+06,66.419
4.2192e+06,57.232
4.2242e+06,47.998
4.2292e+06,38.723
4.2342e+06,29.414
4.2392e+06,20.079
4.2442e+06,10.727
4.2492e+06,1.3658
4.2543e+06,-7.9933
4.2593e+06,-17.341
4.2643e+06,-26.668
4.2693e+06,-35.967
4.2743e+06,-45.229
4.2793e+06,-54.448
4.2843e+06,-63.62
4.2893e+06,-72.741
4.2943e+06,-81.81
4.2993e+06,-90.826
4.3043e+06,-99.789
4.3093e+06,-108.7
4.3143e+06,-117.57
4.3193e+06,-126.39
4.3243e+06,-135.18
4.3293e+06,-143.93
4.3343e+06,-152.66
4.3393e+06,-161.37
4.3443e+06,-170.06
4.3493e+06,-178.75
4.3544e+06,172.56
4.3594e+06,163.86
4.3644e+06,155.14
4.3694e+06,146.41
4.3744e+06,137.64
4.3794e+06,128.84
4.3844e+06,120
4.3894e+06,111.12
4.3944e+06,102.19
4.3994e+06,93.213
4.4044e+06,84.182
4.4094e+06,75.1
4.4144e+06,65.967
4.4194e+06,56.787
4.4244e+06,47.562
4.4294e+06,38.299
4.4344e+06,29.003
4.4394e+06,19.682
4.4444e+06,10.345
4.4494e+06,1.0005
4.4545e+06,-8.3421
4.4595e+06,-17.674
4.4645e+06,-26.986
4.4695e+06,-36.27
4.4745e+06,-45.52
4.4795e+06,-54.729
4.4845e+06,-63.893
4.4895e+06,-73.008
4.4945e+06,-82.073
4.4995e+06,-91.088
4.5045e+06,-100.05
4.5095e+06,-108.97
4.5145e+06,-117.84
4.5195e+06,-126.67
4.5245e+06,-135.47
4.5295e+06,-144.23
4.5345e+06,-152.97
4.5395e+06,-161.69
4.5445e+06,-170.4
4.5495e+06,-179.1
4.5546e+06,172.19
4.5596e+06,163.48
4.5646e+06,154.75
4.5696e+06,146
4.5746e+06,137.23
4.5796e+06,128.42
4.5846e+06,119.57
4.5896e+06,110.68
4.5946e+06,101.75
4.5996e+06,92.765
4.6046e+06,83.734
4.6096e+06,74.653
4.6146e+06,65.524
4.6196e+06,56.349
4.6246e+06,47.133
4.6296e+06,37.879
4.6346e+06,28.595
4.6396e+06,19.288
4.6446e+06,9.9651
4.6496e+06,0.63557
4.6547e+06,-8.692
4.6597e+06,-18.009
4.6647e+06,-27.307
4.6697e+06,-36.579
4.6747e+06,-45.817
4.6797e+06,-55.016
4.6847e+06,-64.172
4.6897e+06,-73.282
4.6947e+06,-82.344
4.6997e+06,-91.358
4.7047e+06,-100.32
4.7097e+06,-109.24
4.7147e+06,-118.12
4.7197e+06,-126.96
4.7247e+06,-135.76
4.7297e+06,-144.53
4.7347e+06,-153.28
4.7397e+06,-162.02
4.7447e+06,-170.74
4.7497e+06,-179.45
4.7548e+06,171.83
4.7598e+06,163.11
4.7648e+06,154.37
4.7698e+06,145.61
4.7748e+06,136.82
4.7798e+06,128
4.7848e+06,119.15
4.7898e+06,110.25
4.7948e+06,101.31
4.7998e+06,92.325
4.8048e+06,83.293
4.8098e+06,74.213
4.8148e+06,65.088
4.8198e+06,55.919
4.8248e+06,46.709
4.8298e+06,37.465
4.8348e+06,28.192
4.8398e+06,18.897
4.8448e+06,9.587
4.8498e+06,0.27102
4.8549e+06,-9.0429
4.8599e+06,-18.346
4.8649e+06,-27.632
4.8699e+06,-36.891
4.8749e+06,-46.119
4.8799e+06,-55.31
4.8849e+06,-64.459
4.8899e+06,-73.564
4.8949e+06,-82.622
4.8999e+06,-91.635
