x,y
8.7087e+05,0.06457
8.7588e+05,0.066024
8.8088e+05,0.067574
8.8589e+05,0.069165
8.9089e+05,0.070744
8.959e+05,0.072264
9.009e+05,0.073685
9.0591e+05,0.074972
9.1091e+05,0.076096
9.1592e+05,0.077033
9.2092e+05,0.077766
9.2593e+05,0.078279
9.3093e+05,0.078565
9.3594e+05,0.078616
9.4094e+05,0.078433
9.4595e+05,0.078017
9.5095e+05,0.077375
9.5596e+05,0.076515
9.6096e+05,0.075449
9.6597e+05,0.074195
9.7097e+05,0.07277
9.7598e+05,0.071196
9.8098e+05,0.069499
9.8599e+05,0.067707
9.9099e+05,0.065849
9.96e+05,0.06396
1.001e+06,0.062075
1.006e+06,0.060231
1.011e+06,0.058468
1.016e+06,0.056825
1.021e+06,0.05534
1.026e+06,0.054047
1.031e+06,0.052978
1.036e+06,0.052157
1.041e+06,0.051598
1.046e+06,0.051309
1.0511e+06,0.051283
1.0561e+06,0.051506
1.0611e+06,0.051954
1.0661e+06,0.052597
1.0711e+06,0.0534
1.0761e+06,0.054324
1.0811e+06,0.055331
1.0861e+06,0.056383
1.0911e+06,0.057444
1.0961e+06,0.058481
1.1011e+06,0.059466
1.1061e+06,0.060372
1.1111e+06,0.061176
1.1161e+06,0.06186
1.1211e+06,0.062409
1.1261e+06,0.062811
1.1311e+06,0.063056
1.1361e+06,0.06314
1.1411e+06,0.06306
1.1461e+06,0.062816
1.1512e+06,0.06241
1.1562e+06,0.061849
1.1612e+06,0.061141
1.1662e+06,0.060296
1.1712e+06,0.059326
1.1762e+06,0.058249
1.1812e+06,0.057081
1.1862e+06,0.055841
1.1912e+06,0.054553
1.1962e+06,0.053239
1.2012e+06,0.051925
1.2062e+06,0.050637
1.2112e+06,0.049403
1.2162e+06,0.048249
1.2212e+06,0.047202
1.2262e+06,0.046285
1.2312e+06,0.045521
1.2362e+06,0.044924
1.2412e+06,0.044507
1.2462e+06,0.044274
1.2513e+06,0.044223
1.2563e+06,0.044346
