x,y
1.977e+06,-159.28
1.982e+06,-163.78
1.987e+06,-168.29
1.992e+06,-172.79
1.997e+06,-177.3
2.002e+06,-1.8017
2.007e+06,-6.3063
2.012e+06,-10.811
2.017e+06,-15.315
2.022e+06,-19.82
2.027e+06,-24.324
2.032e+06,-28.829
2.037e+06,-33.333
2.042e+06,-37.838
2.047e+06,-42.342
2.0521e+06,-46.847
2.0571e+06,-51.351
2.0621e+06,-55.856
2.0671e+06,-60.36
2.0721e+06,-64.865
2.0771e+06,-69.369
2.0821e+06,-73.874
2.0871e+06,-78.378
2.0921e+06,-82.883
2.0971e+06,-87.387
2.1021e+06,-91.892
2.1071e+06,-96.396
2.1121e+06,-100.9
2.1171e+06,-105.41
2.1221e+06,-109.91
2.1271e+06,-114.41
2.1321e+06,-118.92
2.1371e+06,-123.42
2.1421e+06,-127.93
2.1471e+06,-132.43
2.1522e+06,-136.94
2.1572e+06,-141.44
2.1622e+06,-145.95
2.1672e+06,-150.45
2.1722e+06,-154.95
2.1772e+06,-159.46
2.1822e+06,-163.96
2.1872e+06,-168.47
2.1922e+06,-172.97
2.1972e+06,-177.48
2.2022e+06,-1.9819
2.2072e+06,-6.4865
2.2122e+06,-10.991
2.2172e+06,-15.495
2.2222e+06,-20
2.2272e+06,-24.504
2.2322e+06,-29.009
2.2372e+06,-33.514
2.2422e+06,-38.018
2.2472e+06,-42.523
2.2523e+06,-47.027
2.2573e+06,-51.532
2.2623e+06,-56.036
2.2673e+06,-60.541
2.2723e+06,-65.045
2.2773e+06,-69.55
2.2823e+06,-74.054
2.2873e+06,-78.559
2.2923e+06,-83.063
2.2973e+06,-87.568
2.3023e+06,-92.072
2.3073e+06,-96.577
2.3123e+06,-101.08
2.3173e+06,-105.59
2.3223e+06,-110.09
2.3273e+06,-114.59
2.3323e+06,-119.1
2.3373e+06,-123.6
2.3423e+06,-128.11
2.3473e+06,-132.61
2.3524e+06,-137.12
2.3574e+06,-141.62
2.3624e+06,-146.13
2.3674e+06,-150.63
2.3724e+06,-155.14
2.3774e+06,-159.64
2.3824e+06,-164.14
2.3874e+06,-168.65
2.3924e+06,-173.15
2.3974e+06,-177.66
2.4024e+06,-2.1621
2.4074e+06,-6.6666
2.4124e+06,-11.171
2.4174e+06,-15.676
2.4224e+06,-20.18
2.4274e+06,-24.685
2.4324e+06,-29.189
2.4374e+06,-33.694
2.4424e+06,-38.198
2.4474e+06,-42.703
2.4525e+06,-47.207
2.4575e+06,-51.712
2.4625e+06,-56.216
2.4675e+06,-60.721
2.4725e+06,-65.225
2.4775e+06,-69.73
2.4825e+06,-74.234
2.4875e+06,-78.739
2.4925e+06,-83.243
2.4975e+06,-87.748
2.5025e+06,-92.252
2.5075e+06,-96.757
2.5125e+06,-101.26
2.5175e+06,-105.77
2.5225e+06,-110.27
2.5275e+06,-114.77
2.5325e+06,-119.28
2.5375e+06,-123.78
2.5425e+06,-128.29
2.5475e+06,-132.79
2.5526e+06,-137.3
2.5576e+06,-141.8
2.5626e+06,-146.31
2.5676e+06,-150.81
2.5726e+06,-155.32
2.5776e+06,-159.82
2.5826e+06,-164.32
2.5876e+06,-168.83
2.5926e+06,-173.33
2.5976e+06,-177.84
2.6026e+06,-2.3423
2.6076e+06,-6.8468
2.6126e+06,-11.351
2.6176e+06,-15.856
2.6226e+06,-20.36
2.6276e+06,-24.865
2.6326e+06,-29.369
2.6376e+06,-33.874
2.6426e+06,-38.378
2.6476e+06,-42.883
2.6527e+06,-47.387
2.6577e+06,-51.892
2.6627e+06,-56.396
2.6677e+06,-60.901
2.6727e+06,-65.405
2.6777e+06,-69.91
2.6827e+06,-74.414
2.6877e+06,-78.919
2.6927e+06,-83.423
2.6977e+06,-87.928
2.7027e+06,-92.432
2.7077e+06,-96.937
2.7127e+06,-101.44
2.7177e+06,-105.95
2.7227e+06,-110.45
2.7277e+06,-114.95
2.7327e+06,-119.46
2.7377e+06,-123.96
2.7427e+06,-128.47
2.7477e+06,-132.97
2.7528e+06,-137.48
2.7578e+06,-141.98
2.7628e+06,-146.49
2.7678e+06,-150.99
2.7728e+06,-155.5
2.7778e+06,-160
2.7828e+06,-164.5
2.7878e+06,-169.01
2.7928e+06,-173.51
2.7978e+06,-178.02
2.8028e+06,-2.5225
2.8078e+06,-7.027
2.8128e+06,-11.532
2.8178e+06,-16.036
2.8228e+06,-20.541
2.8278e+06,-25.045
2.8328e+06,-29.55
2.8378e+06,-34.054
2.8428e+06,-38.559
2.8478e+06,-43.063
2.8529e+06,-47.568
2.8579e+06,-52.072
2.8629e+06,-56.577
2.8679e+06,-61.081
2.8729e+06,-65.586
2.8779e+06,-70.09
2.8829e+06,-74.595
2.8879e+06,-79.099
2.8929e+06,-83.604
2.8979e+06,-88.108
2.9029e+06,-92.613
2.9079e+06,-97.117
2.9129e+06,-101.62
2.9179e+06,-106.13
2.9229e+06,-110.63
2.9279e+06,-115.14
2.9329e+06,-119.64
2.9379e+06,-124.14
2.9429e+06,-128.65
2.9479e+06,-133.15
2.953e+06,-137.66
2.958e+06,-142.16
2.963e+06,-146.67
2.968e+06,-151.17
2.973e+06,-155.68
2.978e+06,-160.18
2.983e+06,-164.68
2.988e+06,-169.19
2.993e+06,-173.69
2.998e+06,-178.2
3.003e+06,-2.7026
3.008e+06,-7.2072
3.013e+06,-11.712
3.018e+06,-16.216
3.023e+06,-20.721
3.028e+06,-25.225
3.033e+06,-29.73
3.038e+06,-34.234
3.043e+06,-38.739
3.048e+06,-43.243
3.0531e+06,-47.748
3.0581e+06,-52.252
3.0631e+06,-56.757
3.0681e+06,-61.261
3.0731e+06,-65.766
3.0781e+06,-70.27
3.0831e+06,-74.775
3.0881e+06,-79.279
3.0931e+06,-83.784
3.0981e+06,-88.288
3.1031e+06,-92.793
3.1081e+06,-97.297
3.1131e+06,-101.8
3.1181e+06,-106.31
3.1231e+06,-110.81
3.1281e+06,-115.32
3.1331e+06,-119.82
3.1381e+06,-124.32
3.1431e+06,-128.83
3.1481e+06,-133.33
3.1532e+06,-137.84
3.1582e+06,-142.34
3.1632e+06,-146.85
3.1682e+06,-151.35
3.1732e+06,-155.86
3.1782e+06,-160.36
3.1832e+06,-164.86
3.1882e+06,-169.37
3.1932e+06,-173.87
3.1982e+06,-178.38
3.2032e+06,-2.8828
3.2082e+06,-7.3874
3.2132e+06,-11.892
3.2182e+06,-16.396
3.2232e+06,-20.901
3.2282e+06,-25.405
3.2332e+06,-29.91
